,,,,,,,,Matrice de confusion Globale sur la base de test Multi-séquences sans bruit ajouté. (Images de digits de plaques),,,,,
,,,,,,,,,,,,,
,,,,,,,,Reconnaissance globale,,,,,
,,,,,,,,,,,,,
,,,Digit 5,0,1,2,3,4,5,6,7,8,9
,,,3x2,2.76171875,7.30078125,0,0,1.380859375,33.53125,39.84375,0.197265625,13.015625,1.97265625
,,,4x3,1.97265625,0.7890625,0,0.591796875,17.75,27.421875,36.3125,0.591796875,4.33984375,10.25
,,,6x4,11.2421875,1.7744140625,0,0.7890625,13.8046875,23.46875,36.3125,0,8.28125,4.33984375
,,,8x5,9.15625,4.2109375,0.1831054688,3.845703125,2.5625,29.859375,28.203125,0,9.3359375,12.6328125
,,,9x6,15.3828125,4.2734375,0.341796875,2.22265625,3.24609375,32.96875,15.3828125,0.68359375,16.75,8.71875
,,,11x7,9.9140625,4.95703125,0,2.05078125,0.1708984375,43.40625,18.625,0.341796875,16.234375,4.2734375
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 6,0,1,2,3,4,5,6,7,8,9
,,,3x2,1.373046875,7.4140625,0.2746582031,0.2746582031,0.82421875,14.28125,61.28125,0,13.4609375,0.82421875
,,,4x3,2.74609375,0,0,0,16.765625,10.984375,58.25,0.82421875,3.021484375,7.4140625
,,,6x4,14.015625,1.9228515625,3.021484375,0,17.578125,2.47265625,44.25,0,15.9296875,0.82421875
,,,8x5,14.5390625,0.7651367188,0.2551269531,0.7651367188,2.55078125,4.59375,48.96875,0.2551269531,19.640625,7.65234375
,,,9x6,20,2.85546875,0.2380371094,3.80859375,5.23828125,6.42578125,35.21875,1.1904296875,22.375,2.619140625
,,,11x7,14.5234375,1.666015625,0.2380371094,5,0.7138671875,5.7109375,40.9375,0.7138671875,27.859375,2.619140625
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 7,0,1,2,3,4,5,6,7,8,9
,,,3x2,24.25,31.671875,0.2958984375,0.2958984375,1.18359375,0.591796875,23.078125,2.3671875,12.4296875,3.845703125
,,,4x3,11.5390625,5.32421875,7.69140625,0,20.71875,2.958984375,6.8046875,17.15625,14.1953125,13.609375
,,,6x4,35.21875,0.8872070313,10.953125,3.845703125,0.591796875,0.2958984375,5.32421875,23.96875,16.265625,2.662109375
,,,8x5,11.2578125,1.373046875,6.31640625,16.765625,6.59375,1.0986328125,5.4921875,25.828125,11.8125,13.4609375
,,,9x6,22.296875,1.28125,8.4609375,13.328125,5.125,0.2563476563,2.5625,20.5,18.96875,7.1796875
,,,11x7,13.84375,1.5380859375,2.8203125,21.53125,0,3.33203125,1.28125,22.5625,22.8125,10.25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 8,0,1,2,3,4,5,6,7,8,9
,,,3x2,10.1640625,12.9140625,0.2746582031,0,1.6484375,15.6640625,26.09375,0,32.6875,0.5493164063
,,,4x3,13.4609375,1.0986328125,0.82421875,2.47265625,8.515625,8.515625,13.4609375,2.47265625,40.375,8.7890625
,,,6x4,29.953125,3.296875,0.5493164063,0.2746582031,9.3359375,4.66796875,14.015625,0.82421875,31.859375,5.21875
,,,8x5,5.8671875,2.806640625,0.5102539063,2.296875,3.060546875,3.060546875,17.609375,0.7651367188,52.53125,11.484375
,,,9x6,20,1.427734375,0.4760742188,7.140625,0.7138671875,9.5234375,10,3.09375,41.4375,6.1875
,,,11x7,20,2.142578125,0,4.28515625,0.2380371094,3.33203125,13.1015625,0.9521484375,49.75,6.1875
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 9,0,1,2,3,4,5,6,7,8,9
,,,3x2,6.8671875,10.7109375,0,0.5493164063,1.6484375,18.953125,15.109375,0,40.125,6.04296875
,,,4x3,11.2578125,7.4140625,0.5493164063,0.82421875,4.12109375,5.21875,11.5390625,2.47265625,36,20.609375
,,,6x4,31.328125,6.31640625,1.9228515625,1.9228515625,9.609375,1.373046875,15.6640625,1.373046875,10.4375,20.0625
,,,8x5,16.828125,4.3359375,0,8.671875,1.78515625,5.8671875,9.9453125,0,17.34375,35.21875
,,,9x6,30.71875,5.94921875,0,10.4765625,0.7138671875,1.904296875,6.1875,1.1904296875,15.4765625,27.390625
,,,11x7,20.71875,7.140625,0.4760742188,8.5703125,0.7138671875,1.1904296875,5.94921875,0.9521484375,20,34.28125
